AÑO;PR;TIPO RED;CTRA;TR;ESTAC ASOC;ESTAC AFORO;PK ESTAC;ESTAC AFÍN;DESCRIPCIÓN DEL TRAMO;LONG;PK INICIAL;PK FINAL;IMD AÑO;IMD-L AÑO;IMDp AÑO;% LIG AÑO;% PES AÑO;IMD AÑO ANT;IMD-L  AÑO ANT;IMDp AÑO ANT;% LIG AÑO ANT;%PES AÑO ANT;VELOCIDAD MEDIA;RANGO VELOC MEDIA;% MOTOS;% TURISMOS;% FURGON.;% TRACT.;% AUTOBUSES;% CAM. S/R;% CAM. ART.;% TREN CTRA.;% EXTRANJ.;% MER. PEL.;LÍMITE CCAA;LÍMITE PROVINCIA;DOBLE CALZADA
2010;ZA;CTL;ZA-306;2;ZA-4080;ZA-4080;17.0;ZA-1045;DE ZA-302 A MORALEJA DE SAYAGO;14.9;15.1;30.0;262;224;38;85.5;14.5;286;267;19;93.36;6.64;78;71-80;0.67;72.19;16.8;0.0;0.28;5.75;4.09;0.21;1.09;0.17;;;
2010;ZA;CIP;ZA-311;2;ZA-4260;ZA-4260;15.0;ZA-1055;DE BERMILLO DE SAYAGO A ALMEIDA (ZA-320);12.3;13.05;25.35;614;564;50;91.86;8.14;860;788;72;91.63;8.37;89;81-90;0.88;80.87;7.07;0.0;0.31;4.95;5.83;0.09;4.25;0.24;;;
2010;ZA;CIP;ZA-311;3;SA-4475;;;SA-1265;DE ALMEIDA (ZA-320) A LÍMITE DE PROVINCIA DE SALAMANCA;4.9;25.35;30.25;315;290;25;92.06;7.94;280;263;17;93.93;6.07;79;71-80;0.0;81.4;11.18;0.2;1.66;4.86;0.7;0.0;0.45;0.45;;SA;
2010;ZA;CTL;ZA-320;2;ZA-4245;ZA-4245;19.0;ZA-1055;DE FRESNO DE SAYAGO (ZA-302) A ALMEIDA (ZA-311);10.66;16.15;26.81;267;251;16;94.01;5.99;260;253;7;97.31;2.69;82;81-90;0.88;80.87;7.07;0.0;0.31;4.95;5.83;0.09;4.25;0.24;;;
2010;ZA;CIP;ZA-324;1;ZA-4440;ZA-4440;3.0;ZA-1275;DE RICOBAYO (N-122) A VILLALCAMPO;5.505;0.0;5.505;569;538;31;94.55;5.45;345;331;14;95.94;4.06;73;71-80;0.0;73.7;10.14;0.0;1.19;5.44;9.35;0.17;16.87;0.0;;;
2010;ZA;CIP;ZA-324;3;ZA-1275;ZA-1275;18.82;ZA-1275;DE MORALINA (ZA-311) A LA FRONTERA CON PORTUGAL;11.89;17.0;28.89;650;545;105;83.85;16.15;553;473;80;85.53;14.47;80;71-80;0.0;73.7;10.14;0.0;1.19;5.44;9.35;0.17;16.87;0.0;P;;
2010;ZA;CIP;ZA-512;2;ZA-4290;ZA-4290;16.0;ZA-1120;DE VILLANUEVA DEL CAMPO A LÍMITE DE PROVINCIA DE LEÓN;5.08;13.71;18.79;267;227;40;85.02;14.98;252;244;8;96.83;3.17;81;81-90;0.24;73.75;10.25;0.95;1.66;8.2;3.89;1.08;0.56;0.56;;LE;
2010;ZA;CTL;ZA-524;1;ZA-4520;ZA-4520;0.5;ZA-1120;DE LÍMITE DE PROVINCIA DE LEÓN A CASTROVERDE DE CAMPOS;9.77;0.0;9.77;382;352;30;92.15;7.85;568;500;68;88.03;11.97;78;71-80;0.24;73.75;10.25;0.95;1.66;8.2;3.89;1.08;0.56;0.56;;LE;
2010;ZA;CIP;ZA-602;3;ZA-4335;ZA-4335;24.3;ZA-1025;DE FUENTESAÚCO (CL-605) A FUENTELAPEÑA;10.36;19.0;29.36;623;575;48;92.3;7.7;662;511;151;77.19;22.81;82;81-90;0.09;65.5;13.61;0.87;0.28;5.5;14.14;0.0;0.0;0.53;;;
2010;ZA;CIP;ZA-605;2;ZA-1025;ZA-1025;30.1;ZA-1025;DE  LA BÓVEDA DE TORO (ZA-604) A FUENTESAÚCO;13.55;19.2;32.75;1134;908;226;80.07;19.93;1347;1091;256;80.99;19.01;80;71-80;0.09;65.5;13.61;0.87;0.28;5.5;14.14;0.0;0.0;0.53;;;
2010;ZA;CIP;ZA-605;3;SA-1120;;;SA-1120;DE FUENTESAÚCO A LÍMITE DE PROVINCIA DE SALAMANCA;4.85;32.75;37.6;1900;1683;217;88.58;11.42;1954;1707;247;87.36;12.64;79;71-80;0.48;78.21;8.11;1.79;0.25;5.71;5.15;0.31;0.23;1.35;;SA;
2010;ZA;CTL;ZA-611;1;ZA-4330;ZA-4330;0.5;ZA-1010;DE CL-602 A VALDEFINJAS;7.0;0.0;7.0;787;443;344;56.29;43.71;1045;589;456;56.36;43.64;85;81-90;0.3;62.93;13.81;2.09;0.83;9.12;10.71;0.21;0.03;0.51;;;
2010;ZA;CTL;ZA-623;1;ZA-4240;;;ZA-1055;DE MORALEJA DEL VINO A CASASECA DE LAS CHANAS;3.5;0.0;3.5;422;403;19;95.5;4.5;329;320;9;97.26;2.74;62;61-70;0.88;80.87;7.07;0.0;0.31;4.95;5.83;0.09;4.25;0.24;;;
2010;ZA;CIP;ZA-705;3;VA-1060;;;VA-1060;DE VILLALONSO, A LÍMITE DE PROVINCIA DE VALLADOLID;2.8;9.0;11.8;823;642;181;78.01;21.99;910;697;213;76.59;23.41;92;91-100;0.66;66.61;10.07;0.66;0.75;8.58;10.84;1.82;0.11;0.55;;VA;
2010;ZA;CIP;ZA-711;1;ZA-4460;ZA-4460;6.85;ZA-1140;DE CL-612 A CORESES;7.43;0.0;7.43;340;321;19;94.41;5.59;653;609;44;93.26;6.74;74;71-80;0.45;72.09;16.43;0.75;0.95;5.79;3.54;0.0;0.15;0.46;;;
2010;ZA;CIP;ZA-711;2;ZA-4460;;;ZA-1140;DE CORESES A N-122;2.47;7.43;9.9;340;321;19;94.41;5.59;653;609;44;93.26;6.74;71;71-80;0.45;72.09;16.43;0.75;0.95;5.79;3.54;0.0;0.15;0.46;;;
2010;ZA;CTL;ZA-713;2;ZA-4370;ZA-4370;5.0;ZA-1120;DE CRUCE CON A-11 A CASTRONUEVO (ZA-714);23.4;1.9;25.3;826;719;107;87.05;12.95;873;727;146;83.28;16.72;79;71-80;0.24;73.75;10.25;0.95;1.66;8.2;3.89;1.08;0.56;0.56;;;
2010;ZA;CTL;ZA-902;1;ZA-4420;ZA-4420;2.0;ZA-1120;DE TÁBARA (N-631) A SAN MARTÍN DE TÁBARA;10.97;0.0;10.97;196;193;3;98.47;1.53;264;171;93;64.77;35.23;69;61-70;0.24;73.75;10.25;0.95;1.66;8.2;3.89;1.08;0.56;0.56;;;
2010;ZA;CIP;ZA-912;1;ZA-4405;ZA-4405;5.0;ZA-1120;DE N-631 A SAN PEDRO DE LAS HERRERÍAS;18.82;0.0;18.82;480;408;72;85.0;15.0;554;432;122;77.98;22.02;78;71-80;0.24;73.75;10.25;0.95;1.66;8.2;3.89;1.08;0.56;0.56;;;
2010;ZA;CIP;ZA-912;2;ZA-4410;ZA-4410;31.0;ZA-1120;DE SAN PEDRO DE LAS HERRERÍAS A ALCAÑICES (N-122);22.88;18.82;41.7;537;491;46;91.43;8.57;537;491;46;91.43;8.57;77;71-80;0.47;74.37;11.22;0.95;1.35;8.25;2.71;0.68;0.62;0.85;;;
2011;LE;B;A-231;2;LE-0630;;;LE-0630;DE LE-512 A SANTAS MARTAS;10.4;9.5;19.9;9304;7182;2122;77.19;22.81;9453;7310;2143;77.33;22.67;86;81-90;0.06;69.3;7.83;0.0;0.24;6.13;16.44;0.0;3.45;1.4;;;SI
2011;PA;B;A-231;9;PA-1750;PA-1750;102.2;PA-1750;DE VILLAHERREROS (P-236) A  (A-67) OSORNO;7.1;98.3;105.4;7074;5209;1865;73.64;26.36;7480;5500;1980;73.53;26.47;106;101-110;0.25;67.21;6.18;0.0;0.31;4.02;20.73;1.3;10.74;1.14;;BU;SI
2011;VA;B;A-601;4;VA-0610;VA-0610;27.84;;DE VA-301 (PORTILLO) A VP-2203 (SANTIAGO DEL ARROYO);5.87;24.24;30.11;7044;6136;908;87.11;12.89;6659;5754;905;86.41;13.59;103;101-110;0.26;79.95;6.9;0.0;0.63;3.89;7.82;0.54;0.03;0.63;;;SI
2011;SG;B;A-601;10;SG-0460;SG-0460;88.39;;DE SG-222 (NAVALMANZANO) A SG-211 (TABANERA DE LUENGA);13.82;77.62;91.44;5685;4847;838;85.26;14.74;5341;4521;820;84.65;15.35;125;>120;;;;;;;;;;;;;SI
2011;AV;CIP;AV-102;1;AV-1205;AV-1205;2.576;AV-1205;DE PIEDRAHÍTA (N-110) A (AV-104);3.24;0.0;3.24;2087;1842;245;88.26;11.74;2050;1805;245;88.05;11.95;81;81-90;0.55;81.77;5.89;0.05;0.95;7.75;2.92;0.12;0.1;0.15;;;
2011;AV;CTL;AV-322;1;SG-4245;;;SG-1310;DE SANCHIDRIÁN (AP-6), A L.P. SEGOVIA;2.5;0.0;2.5;492;477;15;96.95;3.05;442;432;10;97.74;2.26;60;<=60;0.16;75.82;9.0;0.88;0.32;3.73;9.69;0.4;0.0;0.64;;;
2011;AV;CTL;AV-413;1;SG-4370;;;SG-1280;DE ARÉVALO A LÍMITE DE PROVINCIA DE SEGOVIA;0.835;0.0;0.835;377;373;4;98.94;1.06;364;363;1;99.73;0.27;60;<=60;0.0;66.07;14.85;1.88;0.64;6.8;9.77;0.0;0.0;0.21;;SG;
2011;AV;CTL;AV-500;1;AV-4485;AV-4485;3.0;AV-0130;DE ÁVILA (N-501) A BERNUY-SALINERO;7.626;0.0;7.626;1041;936;105;89.91;10.09;978;857;121;87.63;12.37;61;61-70;1.74;83.35;9.24;0.06;0.04;4.49;1.05;0.04;0.38;0.12;;;
2011;AV;CTL;AV-501;2;AV-4460;AV-4460;21.0;AV-0130;DE AV-500 A ALDEAVIEJA (SANTA MARÍA DEL CUBILLO, N-110);9.74;16.27;26.01;143;141;2;98.6;1.4;133;123;10;92.48;7.52;53;<=60;1.74;83.35;9.24;0.06;0.04;4.49;1.05;0.04;0.38;0.12;;;
2011;AV;CIP;AV-502;1;AV-4255;AV-4255;10.0;AV-0130;DE NAVALPERAL DE PINARES (CL-505) A EL HOYO DE PINARES (AV-561);14.0;0.0;14.0;765;744;21;97.25;2.75;851;831;20;97.65;2.35;69;61-70;1.74;83.35;9.24;0.06;0.04;4.49;1.05;0.04;0.38;0.12;;;
2011;AV;CIP;AV-502;2;AV-4420;AV-4420;15.89;AV-0130;DE EL HOYO DE PINARES (AV-561) A CEBREROS (AV-512);5.81;14.0;19.81;1074;996;78;92.74;7.26;1096;1034;62;94.34;5.66;62;61-70;1.74;83.35;9.24;0.06;0.04;4.49;1.05;0.04;0.38;0.12;;;
2011;AV;CTL;AV-504;1;AV-4265;AV-4265;3.193;AV-0130;DE CEBREROS (AV-502) A  N-403 (PRESA DE BURGUILLO);8.557;0.0;8.557;168;164;4;97.62;2.38;152;150;2;98.68;1.32;56;<=60;1.74;83.35;9.24;0.06;0.04;4.49;1.05;0.04;0.38;0.12;;;
2011;AV;CTL;AV-561;1;AV-4280;AV-4280;5.0;AV-0130;DE HOYO DE PINARES (AV-502) A LÍMITE DE C.A. DE MADRID;11.74;0.0;11.74;570;546;24;95.79;4.21;522;503;19;96.36;3.64;63;61-70;1.74;83.35;9.24;0.06;0.04;4.49;1.05;0.04;0.38;0.12;M;;
2011;AV;CIP;AV-800;2;AV-4295;AV-4295;22.76;AV-1190;DE FONTIVEROS A VILLANUEVA DEL ACERAL (CL-605);16.08;10.06;26.14;1280;1139;141;88.98;11.02;1254;1045;209;83.33;16.67;101;101-110;0.0;68.92;9.08;1.35;0.44;8.21;11.63;0.36;1.04;0.37;;;
2011;AV;CIP;AV-900;2;AV-1340;AV-1340;25.0;AV-1340;DE CARRETERA A RIOFRÍO A NAVALMORAL DE LA SIERRA (AV-905);18.007;9.383;27.39;782;748;34;95.65;4.35;0;;;0.0;0.0;73;71-80;0.92;83.98;10.53;0.23;0.15;3.45;0.75;0.0;0.35;0.46;;;
2011;AV;CIP;AV-900;3;AV-4320;AV-4320;28.54;AV-1340;DE NAVALMORAL DE LA SIERRA (AV-905) A BURGOHONDO (AV-902);6.71;27.39;34.1;984;903;81;91.77;8.23;995;903;92;90.75;9.25;67;61-70;0.92;83.98;10.53;0.23;0.15;3.45;0.75;0.0;0.35;0.46;;;
2011;AV;CTL;AV-901;1;AV-4325;AV-4325;39.16;AV-1290;DE BURGOHONDO (AV-902) A CASAVIEJA (CL-501);43.54;0.0;43.54;175;164;11;93.71;6.29;156;153;3;98.08;1.92;44;<=60;1.36;84.49;7.22;0.48;0.48;5.48;0.48;0.0;0.0;0.24;;;
2011;AV;CTL;AV-901;2;AV-4325;;;AV-1290;DE CASAVIEJA (CL-501) A LÍMITE DE C.A. DE CASTILLA LA MANCHA;0.32;43.54;43.86;175;164;11;93.71;6.29;156;153;3;98.08;1.92;50;<=60;1.36;84.49;7.22;0.48;0.48;5.48;0.48;0.0;0.0;0.24;CM;;
2011;AV;CIP;AV-905;1;AV-4035;AV-4035;0.52;AV-1340;DE VENTA DEL OBISPO (N-502) A AV-903;21.31;0.0;21.31;347;327;20;94.24;5.76;348;327;21;93.97;6.03;62;61-70;2.53;81.35;7.95;0.42;0.35;6.71;0.7;0.0;0.16;0.27;;;
2011;AV;CTL;AV-913;1;AV-4350;AV-4350;0.688;AV-1340;DE BURGOHONDO, AV-901, A SERRANILLOS;16.4;0.0;16.4;458;439;19;95.85;4.15;329;314;15;95.44;4.56;58;<=60;0.92;83.98;10.53;0.23;0.15;3.45;0.75;0.0;0.35;0.46;;;
2011;AV;CTL;AV-933;1;AV-4435;AV-4435;2.0;AV-1205;DE MUÑANA (N-110) A N-502;7.607;0.0;7.607;325;311;14;95.69;4.31;337;319;18;94.66;5.34;83;81-90;0.55;81.77;5.89;0.05;0.95;7.75;2.92;0.12;0.1;0.15;;;
2011;AV;CIP;AV-941;1;AV-1040;AV-1040;1.68;AV-1040;DE VENTA RASQUILLA (N-502)  A HOYOS DEL ESPINO (AV-931);16.5;0.0;16.5;940;856;84;91.06;8.94;938;873;65;93.07;6.93;69;61-70;1.19;78.85;11.03;0.0;0.24;8.1;0.48;0.12;0.83;0.36;;;
2011;BU;CIP;BU-101;1;BU-4225;BU-4225;7.5;BU-1025;DE VILLAHOZ (N-622) A SANTA MARÍA DEL CAMPO (cruce ctra. Diputación);8.225;0.0;8.225;575;539;36;93.74;6.26;650;498;152;76.62;23.38;95;91-100;0.35;71.87;18.76;0.7;1.58;3.96;2.57;0.2;1.06;0.18;;;
2011;BU;CIP;BU-101;2;BU-4235;BU-4235;17.9;BU-1025;DE SANTA MARÍA DEL CAMPO ( ctra. Diputc.) A  N-620 (VILLAQUIRÁN);10.575;8.225;18.8;410;380;30;92.68;7.32;288;252;36;87.5;12.5;83;81-90;0.35;71.87;18.76;0.7;1.58;3.96;2.57;0.2;1.06;0.18;;;
2011;BU;CTL;BU-113;2;BU-4255;BU-4255;15.5;BU-1110;DE CABAÑES DE ESGUEVA (BU-130) A VILLOVELA DE ESGUEVA (CL-619);16.73;7.4;24.13;102;98;4;96.08;3.92;83;77;6;92.77;7.23;73;71-80;0.49;79.61;6.74;0.3;0.48;4.88;6.96;0.53;1.18;0.53;;;
2011;BU;CTL;BU-122;2;BU-4815;;;BU-1110;DE BU-123 A FUENTECÉN (N-122);4.68;4.02;8.7;364;360;4;98.9;1.1;313;312;1;99.68;0.32;72;71-80;0.49;79.61;6.74;0.3;0.48;4.88;6.96;0.53;1.18;0.53;;;
2011;BU;CIP;BU-130;2;BU-4805;BU-4805;14.5;BU-1110;DE  BU-113 A  LA HORRA (CL-619);13.1;8.21;21.31;573;537;36;93.72;6.28;530;495;35;93.4;6.6;77;71-80;0.49;79.61;6.74;0.3;0.48;4.88;6.96;0.53;1.18;0.53;;;
2011;BU;CIP;BU-130;4;BU-4275;BU-4275;31.5;BU-1110;DE ROA DE DUERO A  BU-131;9.19;28.55;37.74;1052;925;127;87.93;12.07;959;898;61;93.64;6.36;67;61-70;0.49;79.61;6.74;0.3;0.48;4.88;6.96;0.53;1.18;0.53;;;
2011;BU;CTL;BU-131;1;BU-4810;;;BU-1100;DE MAMBRILLA DE CASTREJÓN A BU-130;3.91;0.0;3.91;261;239;22;91.57;8.43;323;315;8;97.52;2.48;74;71-80;0.41;73.06;8.56;0.92;0.61;5.95;10.39;0.1;1.22;1.02;;;
2011;BU;CTL;BU-131;2;BU-4810;;;BU-1100;DE BU-130 A N-122 (NAVA DE ROA);3.09;3.91;7.0;261;239;22;91.57;8.43;323;315;8;97.52;2.48;69;61-70;0.41;73.06;8.56;0.92;0.61;5.95;10.39;0.1;1.22;1.02;;;
2011;BU;CTL;BU-134;1;BU-4860;BU-4860;2.2;BU-1110;DE ROA DE DUERO A MAMBRILLA DE CASTREJÓN (BU-131);7.25;0.0;7.25;522;507;15;97.13;2.87;473;460;13;97.25;2.75;75;71-80;0.49;79.61;6.74;0.3;0.48;4.88;6.96;0.53;1.18;0.53;;;
2011;BU;CTL;BU-143;1;PA-4770;;;PA-1160;DE N-622 A LÍMITE DE PROVINCIA DE PALENCIA;4.3;0.0;4.3;57;48;9;84.21;15.79;30;24;6;80.0;20.0;60;<=60;0.28;80.64;12.36;0.0;0.44;3.21;2.92;0.15;0.19;0.29;;PA;
2011;BU;CTL;BU-200;2;BU-4865;BU-4865;13.0;BU-1100;DE ADRADA DE HAZA A CAMPILLO DE ARANDA;8.77;5.73;14.5;196;193;3;98.47;1.53;185;183;2;98.92;1.08;77;71-80;0.41;73.06;8.56;0.92;0.61;5.95;10.39;0.1;1.22;1.02;;;
2011;BU;CTL;BU-202;1;BU-4970;BU-4970;1.5;BU-1100;DE ADRADA DE HAZA (BU-200) A MORADILLO DE ROA;8.74;0.0;8.74;145;139;6;95.86;4.14;128;124;4;96.88;3.13;73;71-80;0.41;73.06;8.56;0.92;0.61;5.95;10.39;0.1;1.22;1.02;;;
2011;BU;CTL;BU-202;2;BU-4810;;;BU-1100;DE MORADILLO DE ROA A A-I (PARDILLA);8.46;8.74;17.2;261;239;22;91.57;8.43;323;315;8;97.52;2.48;73;71-80;0.41;73.06;8.56;0.92;0.61;5.95;10.39;0.1;1.22;1.02;;;
2011;BU;CTL;BU-211;1;VA-4500;;;VA-0030;DE NAVA DE ROA (N-122) A LÍMITE DE PROVINCIA DE SEGOVIA;3.3;0.0;3.3;50;50;0;100.0;0.0;41;39;2;95.12;4.88;66;61-70;0.1;73.01;9.87;0.07;0.61;6.57;9.24;0.54;0.1;0.47;;SG;
2011;BU;CIP;BU-400;3;BU-4295;;;BU-1110;DE CASTRILLO MATAJUDÍOS A CASTROJERIZ;3.27;12.33;15.6;901;847;54;94.01;5.99;959;901;58;93.95;6.05;101;101-110;0.49;79.61;6.74;0.3;0.48;4.88;6.96;0.53;1.18;0.53;;;
2011;BU;CTL;BU-404;1;BU-4315;BU-4315;9.5;BU-1040;DE VILLASANDINO (N-120) A CASTROJERIZ (BU-400);10.7;0.0;10.7;582;538;44;92.44;7.56;545;511;34;93.76;6.24;103;101-110;0.0;79.87;13.31;0.0;0.79;3.6;2.16;0.26;0.4;0.13;;;
2011;BU;CTL;BU-504;2;BU-4355;BU-4355;8.3;BU-1155;DE FRÍAS A BUSTO DE BUREBA (N-232);17.62;4.43;22.05;294;284;10;96.6;3.4;212;207;5;97.64;2.36;61;61-70;0.82;75.22;15.69;0.15;0.79;4.53;2.3;0.5;0.37;0.07;;;
2011;BU;CIP;BU-526;3;BU-4385;;;BU-0175;DE  BU-542 A ESPINOSA DE LOS MONTEROS;1.9;8.7;10.6;1826;1716;110;93.98;6.02;2006;1815;191;90.48;9.52;53;<=60;0.29;85.02;8.05;0.06;0.19;3.05;3.32;0.01;0.07;0.26;;;
2011;BU;CIP;BU-526;4;BU-1205;;;BU-1205;DE ESPINOSA DE LOS MONTEROS A QUINTANILLA DEL REBOLLAR (BU-562);6.86;10.6;17.46;569;501;68;88.05;11.95;577;508;69;88.04;11.96;79;71-80;0.68;65.02;19.3;3.05;1.25;5.98;4.45;0.28;0.17;0.66;;;
2011;BU;CIP;BU-530;4;BU-4370;;;BU-1155;DE  BU-532 A LÍMITE DE C.A. DEL PAÍS VASCO;8.7;14.7;23.4;1185;1117;68;94.26;5.74;1064;959;105;90.13;9.87;67;61-70;0.82;75.22;15.69;0.15;0.79;4.53;2.3;0.5;0.37;0.07;PV;;
2011;BU;CIP;BU-542;1;BU-4385;BU-4385;0.6;BU-0175;DE  N-629 A ESPINOSA DE LOS MONTEROS (BU-526);5.2;0.0;5.2;1826;1716;110;93.98;6.02;2006;1815;191;90.48;9.52;93;91-100;0.29;85.02;8.05;0.06;0.19;3.05;3.32;0.01;0.07;0.26;;;
2011;BU;CIP;BU-550;1;BU-4395;BU-4395;1.7;BU-1155;DE TRESPADERNE  (BU-530) A BU-532;7.5;0.0;7.5;1271;1233;38;97.01;2.99;1227;1181;46;96.25;3.75;94;91-100;0.82;75.22;15.69;0.15;0.79;4.53;2.3;0.5;0.37;0.07;;;
2011;BU;CIP;BU-550;4;BU-1410;BU-1410;21.1;BU-1410;DE  BU-553 A  BU-552;8.09;18.71;26.8;1025;903;122;88.1;11.9;1051;938;113;89.25;10.75;78;71-80;2.08;79.3;5.79;0.93;1.6;6.14;3.93;0.25;0.0;0.23;;;
2011;BU;CIP;BU-551;1;BU-4420;BU-4420;18.0;BU-1445;DE  BU-550 A MEDINA DE POMAR;18.8;0.0;18.8;970;907;63;93.51;6.49;1315;1164;151;88.52;11.48;91;91-100;0.33;81.85;9.53;0.24;0.34;4.89;2.77;0.04;0.0;0.35;;;
2011;BU;CIP;BU-552;3;BU-4430;;;BU-1445;DE CASTROBARTO A EL RIBERO (N-629);9.46;32.41;41.87;1039;980;59;94.32;5.68;1168;1003;165;85.87;14.13;98;91-100;0.33;81.85;9.53;0.24;0.34;4.89;2.77;0.04;0.0;0.35;;;
2011;BU;CTL;BU-553;1;BU-4945;BU-4945;0.4;BU-1445;DE SAN PANTALEÓN DE LOSA (BU-550) A LÍMITE DE C.A. DEL PAÍS VASCO;5.2;0.0;5.2;48;34;14;70.83;29.17;42;31;11;73.81;26.19;51;<=60;0.33;81.85;9.53;0.24;0.34;4.89;2.77;0.04;0.0;0.35;PV;;
2011;BU;CIP;BU-556;2;BU-4015;BU-4015;4.1;BU-1445;DE BERBERANA A LÍMITE DE C.A. DEL PAÍS VASCO;5.8;2.0;7.8;508;478;30;94.09;5.91;474;452;22;95.36;4.64;85;81-90;0.33;81.85;9.53;0.24;0.34;4.89;2.77;0.04;0.0;0.35;PV;;
2011;BU;CTL;BU-561;1;BU-4450;BU-4450;3.0;BU-1445;DE VILLARCAYO (CL-629) A SANTELICES (BU-526);20.2;0.0;20.2;446;377;69;84.53;15.47;568;459;109;80.81;19.19;71;71-80;0.33;81.85;9.53;0.24;0.34;4.89;2.77;0.04;0.0;0.35;;;
2011;BU;CTL;BU-571;1;BU-4875;;;BU-0175;De BU-570 (LAS VEGAS) A LÍMITE DE C.A. DE CANTABRIA;7.3;0.0;7.3;161;146;15;90.68;9.32;152;138;14;90.79;9.21;47;<=60;0.29;85.02;8.05;0.06;0.19;3.05;3.32;0.01;0.07;0.26;CAN;;
2011;BU;CTL;BU-572;1;BU-4875;BU-4875;1.0;BU-0175;DE BU-570 (SALCEDILLO) A LÍMITE DE C.A. DE CANTABRIA;8.6;0.0;8.6;161;146;15;90.68;9.32;152;138;14;90.79;9.21;59;<=60;0.29;85.02;8.05;0.06;0.19;3.05;3.32;0.01;0.07;0.26;CAN;;
2011;BU;CTL;BU-574;1;BU-4875;;;BU-0175;DE N-623 A LÍMITE DE C.A. DE CANTABRIA;2.23;0.0;2.23;161;146;15;90.68;9.32;152;138;14;90.79;9.21;50;<=60;0.29;85.02;8.05;0.06;0.19;3.05;3.32;0.01;0.07;0.26;CAN;;
2011;BU;CTL;BU-574;2;BU-4875;;;BU-0175;DE LÍMITE DE C.A. DE CANTABRIA A LÍMITE DE C.A. DE CANTABRIA;2.0;9.03;11.03;161;146;15;90.68;9.32;152;138;14;90.79;9.21;42;<=60;0.29;85.02;8.05;0.06;0.19;3.05;3.32;0.01;0.07;0.26;;;
2011;BU;CIP;BU-600;1;BU-4940;BU-4940;1.0;BU-1155;ACCESO A POL. IND. DE VILLALONQUÉJAR DESDE LA A-231;2.3;0.0;2.3;6191;4986;1205;80.54;19.46;7001;5701;1300;81.43;18.57;109;101-110;0.82;75.22;15.69;0.15;0.79;4.53;2.3;0.5;0.37;0.07;;;SI
2011;BU;CTL;BU-610;2;BU-4475;BU-4475;21.0;BU-1155;DE BU-601 A SOTRESGUDO;14.07;7.63;21.7;212;174;38;82.08;17.92;214;176;38;82.24;17.76;74;71-80;0.82;75.22;15.69;0.15;0.79;4.53;2.3;0.5;0.37;0.07;;;
2011;BU;CTL;BU-610;3;BU-4470;BU-4470;23.5;BU-1155;DE SOTRESGUDO A LÍMITE DE PROVINCIA DE PALENCIA;11.8;21.7;33.5;184;150;34;81.52;18.48;186;154;32;82.8;17.2;78;71-80;0.82;75.22;15.69;0.15;0.79;4.53;2.3;0.5;0.37;0.07;;PA;
2011;BU;CTL;BU-621;1;BU-4750;BU-4750;1.1;BU-1155;DE VILLADIEGO (BU-601) A QUINTANAS DE VALDELUCIO (N-627);31.9;0.0;31.9;193;190;3;98.45;1.55;250;242;8;96.8;3.2;70;61-70;0.82;75.22;15.69;0.15;0.79;4.53;2.3;0.5;0.37;0.07;;;
2011;BU;CIP;BU-622;1;BU-4490;BU-4490;0.4;BU-1155;DE POL. IND. DE VILLALONQUÉJAR (C/ LÓPEZ BRAVO)  a QUINTANADUEÑAS;1.98;0.0;1.98;5704;5399;305;94.65;5.35;6558;6045;513;92.18;7.82;61;61-70;0.82;75.22;15.69;0.15;0.79;4.53;2.3;0.5;0.37;0.07;;;
2011;BU;CIP;BU-622;2;BU-4900;BU-4900;2.8;BU-1155;DE QUINTANADUEÑAS A ARROYAL;2.98;1.98;4.96;1422;1336;86;93.95;6.05;1456;1363;93;93.61;6.39;79;71-80;0.82;75.22;15.69;0.15;0.79;4.53;2.3;0.5;0.37;0.07;;;
2011;BU;CIP;BU-627;3;BU-4755;BU-4755;36.15;BU-1155;DE SOTRESGUDO (BU-610), A LÍMITE DE PROVINCIA DE PALENCIA;10.61;33.19;43.8;130;120;10;92.31;7.69;127;117;10;92.13;7.87;77;71-80;0.82;75.22;15.69;0.15;0.79;4.53;2.3;0.5;0.37;0.07;;PA;
2011;BU;CTL;BU-702;1;BU-4780;BU-4780;1.2;BU-1155;DE N-I A VILLAESCUSA LA SOMBRÍA;6.3;0.0;6.3;126;115;11;91.27;8.73;119;113;6;94.96;5.04;67;61-70;0.82;75.22;15.69;0.15;0.79;4.53;2.3;0.5;0.37;0.07;;;
2011;BU;CTL;BU-703;2;BU-4745;;;BU-1155;DE BU-701 A VILLALÓMEZ  (BU-704);3.49;4.95;8.44;459;350;109;76.25;23.75;471;385;86;81.74;18.26;70;61-70;0.82;75.22;15.69;0.15;0.79;4.53;2.3;0.5;0.37;0.07;;;
2011;BU;CTL;BU-704;1;BU-4945;;;BU-1445;DE VILLALÓMEZ (BU-703) A TOSANTOS (N-120);7.8;0.0;7.8;48;34;14;70.83;29.17;42;31;11;73.81;26.19;57;<=60;0.33;81.85;9.53;0.24;0.34;4.89;2.77;0.04;0.0;0.35;;;
2011;BU;CIP;BU-750;1;BU-0575;BU-0575;6.0;BU-0575;DE LÍMITE DE C.A. DEL PAÍS VASCO (PUERTO DE VITORIA) A  CL-127;7.2;0.0;7.2;3266;3192;74;97.73;2.27;3239;3169;70;97.84;2.16;83;81-90;0.92;88.1;8.48;0.23;0.36;1.28;0.3;0.33;0.0;0.13;PV;;
