AÑO;PR;TIPO RED;CTRA;TR;ESTAC ASOC;ESTAC AFORO;PK ESTAC;ESTAC AFÍN;DESCRIPCIÓN DEL TRAMO;LONG;PK INICIAL;PK FINAL;IMD AÑO;IMD-L AÑO;IMDp AÑO;% LIG AÑO;% PES AÑO;IMD AÑO ANT;IMD-L  AÑO ANT;IMDp AÑO ANT;% LIG AÑO ANT;%PES AÑO ANT;VELOCIDAD MEDIA;RANGO VELOC MEDIA;% MOTOS;% TURISMOS;% FURGON.;% TRACT.;% AUTOBUSES;% CAM. S/R;% CAM. ART.;% TREN CTRA.;% EXTRANJ.;% MER. PEL.;LÍMITE CCAA;LÍMITE PROVINCIA;DOBLE CALZADA
2017;SO;CP;SO-615;3;SO-4060;SO-4060;38.0;SO-1045;DE SO-630 A LÍMITE DE C.A. DE LA RIOJA;11.0;37.38;48.38;471;398;73;84.5;15.5;628;548;80;87.26;12.74;47;<=60;0.55;77.43;12.29;0.96;1.1;4.52;3.02;0.14;0.57;1.0;LR;;
2017;SO;CP;SO-830;1;SO-4230;SO-4230;3.0;SO-1215;DE VINUESA (SO-820) A PUERTO DE SANTA INÉS;17.02;0.0;17.02;383;299;84;78.07;21.93;400;323;77;80.75;19.25;66;61-70;0.78;75.93;15.75;1.4;0.15;4.49;1.05;0.45;1.24;0.78;;;
2017;SO;CP;SO-830;2;SO-4345;SO-4345;29.6;SO-1215;DEL PUERTO DE SANTA INÉS A LÍMITE DE C.A. DE LA RIOJA;14.46;17.02;31.48;255;217;38;85.1;14.9;228;186;42;81.58;18.42;52;<=60;0.78;75.93;15.75;1.4;0.15;4.49;1.05;0.45;1.24;0.78;LR;;
2017;SO;CL;SO-115;1;SO-4295;SO-4295;2.0;SO-1085;DE QUINTANA REDONDA (SO-100) A MATAMALA DE ALMAZÁN (SO-110);15.78;0.0;15.78;591;438;153;74.11;25.89;593;516;77;87.02;12.98;72;71-80;0.31;55.54;8.78;0.36;0.39;6.9;25.8;1.92;4.68;2.5;;;
2017;SO;CL;SO-382;1;SO-4330;SO-4330;3.0;SO-0040;DE ÁGREDA (N-122) A LÍMITE DE C.A. DE ARAGÓN;13.69;0.0;13.69;330;302;28;91.52;8.48;327;271;56;82.87;17.13;47;<=60;0.46;51.94;12.79;0.27;0.36;4.42;28.88;0.89;4.63;0.38;AR;;
2017;SO;CL;SO-630;2;SO-4195;SO-4195;36.0;SO-1045;DE SAN PEDRO MANRIQUE (SO-650) A CASTILRUIZ;30.3;11.24;41.54;328;284;44;86.59;13.41;366;315;51;86.07;13.93;54;<=60;0.55;77.43;12.29;0.96;1.1;4.52;3.02;0.14;0.57;1.0;;;
2017;SO;CL;SO-630;3;SO-4205;SO-4205;45.0;SO-1045;DE CASTILRUIZ A MATALEBRERAS (N-122);4.39;41.54;45.93;556;437;119;78.6;21.4;531;394;137;74.2;25.8;68;61-70;0.55;77.43;12.29;0.96;1.1;4.52;3.02;0.14;0.57;1.0;;;
2017;SO;CL;SO-810;1;SO-4350;SO-4350;6.0;SO-1215;"DE CIDONES (N-234) A PRESA DE ""LA CUERDA DEL POZO""  (SO-820)";12.18;0.0;12.18;738;706;32;95.66;4.34;599;535;64;89.32;10.68;86;81-90;0.78;75.93;15.75;1.4;0.15;4.49;1.05;0.45;1.24;0.78;;;
2017;SO;CL;SO-934;1;SO-4355;SO-4355;4.0;SO-1265;DE SAN LEONARDO DE YAGÜE (SO-920) A GUIJOSA;17.78;0.0;17.78;432;363;69;84.03;15.97;419;378;41;90.21;9.79;70;61-70;0.32;76.76;14.37;0.96;0.08;6.73;0.55;0.23;0.48;0.64;;;
2017;SO;CL;SO-934;2;SO-4275;SO-4275;28.0;SO-1265;DE GUIJOSA A LÍMITE DE PROVINCIA DE BURGOS;12.65;17.78;30.43;325;263;62;80.92;19.08;308;248;60;80.52;19.48;67;61-70;0.32;76.76;14.37;0.96;0.08;6.73;0.55;0.23;0.48;0.64;;BU;
2017;VA;B;A-601;2;VA-0600;VA-0600;15.78;;DE CL-600 A ALDEAMAYOR (VA-200);4.7;12.89;17.59;15751;14070;1681;89.33;10.67;14821;13258;1563;89.45;10.55;109;101-110;0.24;81.55;7.53;0.0;0.52;2.86;6.8;0.49;0.06;0.36;;;SI
2017;VA;B;CL-600;3;VA-3305;VA-3305;16.0;VA-0610;DE BOECILLO (N-601) A CL-601;3.3;14.7;18.0;4499;4178;321;92.87;7.13;4362;4080;282;93.54;6.46;76;71-80;0.29;79.73;6.6;0.0;0.6;3.01;9.12;0.64;0.08;0.57;;;
2017;VA;B;CL-600;4;VA-3255;VA-3255;21.0;VA-0610;DE CL-601 A TUDELA DE DUERO  (N-122);10.0;18.0;28.0;2455;2158;297;87.9;12.1;2301;2000;301;86.92;13.08;86;81-90;0.29;79.73;6.6;0.0;0.6;3.01;9.12;0.64;0.08;0.57;;;
2017;VA;CP;VA-113;1;VA-1650;VA-1650;4.88;VA-1650;DE VALLADOLID  (VA-20) A SANTOVENIA;2.5;2.65;5.15;10753;10035;718;93.32;6.68;11026;10288;738;93.31;6.69;47;<=60;0.89;85.28;7.13;0.02;0.58;3.15;2.71;0.24;0.08;0.41;;;
2017;VA;CP;VA-113;3;VA-1230;VA-1230;10.9;VA-1230;DE VA-30 A CABEZÓN DE PISUERGA;4.715;7.285;12.0;3260;3142;118;96.38;3.62;3041;2947;94;96.91;3.09;62;61-70;1.73;87.36;6.89;0.4;1.09;2.21;0.15;0.18;0.07;0.1;;;
2017;VA;CP;VA-223;2;SG-4185;;;SG-0455;DE CAMPASPERO A LÍMITE DE PROVINCIA DE SEGOVIA;4.55;15.31;19.86;1638;1149;489;70.15;29.85;1536;1110;426;72.27;27.73;74;71-80;1.08;76.89;7.72;0.0;0.45;4.66;8.9;0.29;0.16;0.27;;SG;
2017;VA;CP;VA-404;1;VA-4330;VA-4330;13.0;VA-1085;DE MEDINA DEL CAMPO A MATAPOZUELOS;16.1;0.0;16.1;1100;1049;51;95.36;4.64;1046;1004;42;95.98;4.02;89;81-90;0.09;81.62;9.99;0.89;0.56;3.97;1.68;1.2;0.18;0.22;;;
2017;VA;CP;VA-514;1;VA-4350;VA-4350;7.0;VA-1130;DE ZARATÁN (N-601) A WAMBA;12.0;0.0;12.0;1112;1084;28;97.48;2.52;997;964;33;96.69;3.31;65;61-70;0.62;76.74;11.0;0.86;0.79;3.96;5.23;0.79;0.13;0.0;;;
2017;VA;CP;VA-515;1;VA-4100;VA-4100;3.0;VA-1130;DE TORDESILLAS A TORRELOBATÓN (VA-514);17.2;0.0;17.2;380;367;13;96.58;3.42;358;345;13;96.37;3.63;72;71-80;0.62;76.74;11.0;0.86;0.79;3.96;5.23;0.79;0.13;0.0;;;
2017;VA;CP;VA-602;1;VA-4365;VA-4365;3.0;VA-1085;DE N-620 A LÍMITE DE PROVINCIA DE ZAMORA;6.316;0.0;6.316;227;216;11;95.15;4.85;245;222;23;90.61;9.39;76;71-80;0.09;81.62;9.99;0.89;0.56;3.97;1.68;1.2;0.18;0.22;;ZA;
